Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-03-16 00:00:00,Netherlands,Netherlands,NL,148.08,195.83,73.50,70.44,Electricity Maps Estimation
2023-03-17 00:00:00,Netherlands,Netherlands,NL,194.35,251.83,67.15,62.39,Electricity Maps Estimation
2023-03-18 00:00:00,Netherlands,Netherlands,NL,203.20,263.78,65.53,60.18,Electricity Maps Estimation
2023-03-19 00:00:00,Netherlands,Netherlands,NL,228.79,293.23,61.43,56.68,Electricity Maps Estimation
2023-03-20 00:00:00,Netherlands,Netherlands,NL,201.24,260.78,63.67,60.63,Electricity Maps Estimation
2023-03-21 00:00:00,Netherlands,Netherlands,NL,180.19,235.30,67.09,64.17,Electricity Maps Estimation
2023-03-22 00:00:00,Netherlands,Netherlands,NL,110.42,151.14,80.23,77.29,Electricity Maps Estimation
2023-03-23 00:00:00,Netherlands,Netherlands,NL,107.13,147.04,80.64,77.23,Electricity Maps Estimation
2023-03-24 00:00:00,Netherlands,Netherlands,NL,107.60,147.66,80.36,77.28,Electricity Maps Estimation
2023-03-25 00:00:00,Netherlands,Netherlands,NL,109.08,149.58,80.74,77.36,Electricity Maps Estimation
2023-03-26 00:00:00,Netherlands,Netherlands,NL,163.54,216.97,71.34,65.99,Electricity Maps Estimation
2023-03-27 00:00:00,Netherlands,Netherlands,NL,165.39,216.42,71.79,68.46,Electricity Maps Estimation
2023-03-28 00:00:00,Netherlands,Netherlands,NL,216.01,278.44,61.26,58.12,Electricity Maps Estimation
2023-03-29 00:00:00,Netherlands,Netherlands,NL,222.08,286.08,59.10,55.97,Electricity Maps Estimation
2023-03-30 00:00:00,Netherlands,Netherlands,NL,113.30,154.70,79.51,76.35,Electricity Maps Estimation
2023-03-31 00:00:00,Netherlands,Netherlands,NL,193.29,250.30,65.00,60.46,Electricity Maps Estimation
2023-04-01 00:00:00,Netherlands,Netherlands,NL,219.96,284.24,61.54,59.89,Electricity Maps Estimation
2023-04-02 00:00:00,Netherlands,Netherlands,NL,221.10,283.01,61.22,60.59,Electricity Maps Estimation
2023-04-03 00:00:00,Netherlands,Netherlands,NL,281.67,355.31,50.27,49.74,Electricity Maps Estimation
2023-04-04 00:00:00,Netherlands,Netherlands,NL,346.92,435.45,37.01,36.74,Electricity Maps Estimation
2023-04-05 00:00:00,Netherlands,Netherlands,NL,362.00,453.93,33.91,33.63,Electricity Maps Estimation
2023-04-06 00:00:00,Netherlands,Netherlands,NL,269.19,343.21,50.62,50.36,Electricity Maps Estimation
2023-04-07 00:00:00,Netherlands,Netherlands,NL,324.88,411.11,40.29,40.11,Electricity Maps Estimation
2023-04-08 00:00:00,Netherlands,Netherlands,NL,344.16,433.09,36.67,36.59,Electricity Maps Estimation
